Universidad,ODS1,ODS2,ODS3,ODS4,ODS5,ODS6,ODS7,ODS8,ODS9,ODS10,ODS11,ODS12,ODS13,ODS14,ODS15,ODS16,ODS17
Universidad de Zaragoza,2,0,5,32,0,0,3,16,3,19,0,0,2,0,0,7,0
Universitat Politecnica de Valencia,0,4,1,35,0,0,2,11,5,12,0,0,5,2,0,8,0
Universidad Autonoma de Barcelona,3,0,0,34,0,0,3,12,0,22,0,0,4,0,0,4,0
Universidad de Oviedo,4,0,4,28,8,0,2,9,8,18,0,0,3,0,0,7,0
Universidad de La Laguna,5,0,3,20,26,0,3,3,3,26,0,0,0,0,0,3,0
Universitat Jaume I de Castellon,3,0,6,33,3,0,1,15,9,6,12,0,6,0,0,3,0
Universidad Valladolid,4,0,1,29,4,0,2,16,5,25,0,0,0,0,0,4,0
Universidad de Cantabria,9,0,4,56,4,0,2,4,6,4,2,3,0,0,0,4,0
Universidad Alicante,3,0,6,39,6,0,0,9,9,18,3,3,1,0,0,0,0
Universidad Pompeu Fabra,5,0,2,33,22,0,0,0,6,16,0,0,0,0,0,9,0
Universidad de Barcelona,2,0,9,30,6,0,2,6,6,18,12,0,4,2,0,4,16
Universidad Politecnica de Madrid,6,0,4,27,4,0,0,8,12,28,0,0,0,6,0,0,0
Universidad Tecnologica Atlantico Mediterraneo,4,0,0,26,4,0,3,14,7,31,0,0,0,0,0,3,0
Universidad de Diseno Innovacion y Tecnologia,4,0,0,26,4,0,3,14,7,31,0,0,0,0,0,3,0
Universidad Miguel Hernandez de Elche,8,0,5,20,0,0,2,8,2,32,0,0,0,0,0,8,5
Universidad de Malaga,6,0,8,18,17,0,0,22,3,15,0,0,1,2,0,3,0
Universidad Internacional I de Castilla,5,0,2,63,2,0,0,5,2,6,10,0,5,2,0,2,0
Universidad Autonoma de Madrid,8,0,2,50,0,0,2,5,2,17,2,0,0,0,0,5,0
Universidad de Huelva,5,0,2,44,5,0,2,12,8,19,0,0,7,0,0,0,0
Universidad Politecnica de Cartagena,2,0,0,40,2,0,4,12,8,19,0,0,0,0,0,10,0
Universidad de Granada,2,0,3,37,0,0,0,9,23,9,5,5,0,0,0,2,0
